n,p,k,temperature,humidity,ph,rainfall,label,label_encoded
1.0687973987858208,-0.34455074861946233,-0.10168750234285244,-0.9355869259076098,0.47266645756791276,0.04661759174407367,1.8103605001948384,rice,20
0.9333288740624319,0.14061551873812936,-0.1411847666709378,-0.7596460261263331,0.3970512469186057,0.7454920709687868,2.242057909538095,rice,20
0.25598625044548734,0.049646843608580925,-0.08193887017880977,-0.5158981414813986,0.48695381219886713,1.7930778680580497,2.921066034515692,rice,20
0.6352981196709763,-0.5568109905884087,-0.16093339883498045,0.1728070378828599,0.38980549267194176,0.670139711240955,2.5370480328062364,rice,20
0.7436729394496874,-0.34455074861946233,-0.12143613450689511,-1.08364706156879,0.4547916289680062,1.5165452482489676,2.8983726728997685,rice,20
0.4998295949475874,-0.4961652071687097,-0.12143613450689511,-0.505312751519144,0.5340972847724778,0.7916697817911431,2.6861213233058905,rice,20
0.4998295949475874,0.049646843608580925,-0.20043066316306582,-0.5742913207054149,0.5012695767796143,-1.0010580985175002,3.055027135535316,rice,20
1.177172218564532,-0.010998939811118037,-0.16093339883498045,-1.0544982310358721,0.512711020611868,-0.9777825752564524,2.5208532056094395,rice,20
1.041703693841143,0.019323951898731442,-0.20043066316306582,-0.21735150114280835,0.5415145284252698,0.28478784936086843,2.311047565493567,rice,20
0.4727358900029096,0.14061551873812936,-0.20043066316306582,-0.47253804719810333,0.5189620775395833,-0.17114014787828116,2.142936010711277,rice,20
1.0958911037304986,-0.010998939811118037,-0.16093339883498045,0.17994542468201027,0.4463754150700911,-1.4119866059893988,2.9329071753597935,rice,20
1.0687973987858208,-0.2232591817800644,-0.12143613450689511,-0.3234034789212394,0.44786145981332975,1.3524562440034305,2.6684354493681046,rice,20
0.7436729394496874,0.14061551873812936,-0.08193887017880977,0.23398110570686714,0.42253354547776106,-1.7743933966063536,3.2936545330358116,rice,20
1.1500785136198541,0.07996973531843041,-0.23992792749115116,-0.31629368021281684,0.47509820182257806,0.6753021527454646,1.4889862319641058,rice,20
1.177172218564532,-0.10196761494066647,-0.22017929532710848,0.009798961318188814,0.41251511410106834,0.6278488519439267,1.9314147556742225,rice,20
0.25598625044548734,-0.16261339836036545,-0.18068203099902314,-0.2635306620553619,0.3961802092781758,0.7509809601639251,2.322697185211281,rice,20
0.9333288740624319,-0.46584231545886023,-0.1411847666709378,-0.7958614107694351,0.5079616350903209,-0.2850302600248412,3.1520386656675674,rice,20
1.0958911037304986,-0.5568109905884087,-0.18068203099902314,-0.35995834936391546,0.4014780671721616,0.6576786217165125,1.8708863903534874,rice,20
0.7165792345050096,-0.46584231545886023,-0.23992792749115116,-0.7409222963007539,0.3913302035558717,-0.670464270281995,2.2038290220065724,rice,20
